ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
421,0.379669,0.396675,0.330929,0.400000,0.133466
422,0.379600,0.395735,0.330752,0.400000,0.133703
423,0.379519,0.394799,0.330581,0.400000,0.133941
424,0.379426,0.393868,0.330415,0.400000,0.134208
425,0.379320,0.392941,0.330254,0.400000,0.134553
426,0.379203,0.392019,0.330098,0.400000,0.134796
427,0.379075,0.391101,0.329947,0.400000,0.135032
428,0.378935,0.390187,0.329801,0.400000,0.135271
429,0.378784,0.389277,0.329659,0.400000,0.135515
430,0.378622,0.388372,0.329521,0.400000,0.136100
431,0.378449,0.387471,0.329388,0.400000,0.136334
432,0.378266,0.388889,0.329259,0.406667,0.136570
433,0.378073,0.390300,0.329133,0.413333,0.136805
434,0.377869,0.391705,0.329012,0.420000,0.137047
435,0.377656,0.393103,0.328894,0.426667,0.137286
436,0.377433,0.394495,0.328779,0.426667,0.137533
437,0.377200,0.395881,0.328668,0.426667,0.137886
438,0.376958,0.397260,0.328560,0.426667,0.138131
439,0.376708,0.398633,0.328456,0.426667,0.138374
440,0.376448,0.400000,0.328354,0.426667,0.138827
441,0.376180,0.401361,0.328255,0.426667,0.143212
442,0.375903,0.402715,0.328159,0.426667,0.143480
443,0.375618,0.404063,0.328065,0.426667,0.144037
444,0.375325,0.405405,0.327974,0.426667,0.144277
445,0.375024,0.406742,0.327885,0.426667,0.144594
446,0.374716,0.408072,0.327799,0.426667,0.144837
447,0.374400,0.409396,0.327715,0.426667,0.145090
448,0.374077,0.410714,0.327633,0.426667,0.145324
449,0.373747,0.412027,0.327553,0.426667,0.145560
450,0.373410,0.413333,0.327475,0.426667,0.145796
451,0.373593,0.412417,0.327443,0.426667,0.146049
452,0.373763,0.411504,0.327414,0.426667,0.146285
453,0.373920,0.410596,0.327390,0.426667,0.146573
454,0.374063,0.409692,0.327369,0.426667,0.146818
455,0.374193,0.408791,0.327353,0.426667,0.147055
456,0.374310,0.407895,0.327341,0.426667,0.147302
457,0.374414,0.407002,0.327333,0.426667,0.147767
458,0.374506,0.406114,0.327328,0.426667,0.148033
459,0.374585,0.405229,0.327326,0.426667,0.148277
460,0.374652,0.404348,0.327328,0.426667,0.148518
461,0.374707,0.403471,0.327334,0.426667,0.148756
462,0.374749,0.402597,0.327342,0.426667,0.148996
463,0.374780,0.401728,0.327354,0.426667,0.149234
464,0.374799,0.400862,0.327367,0.426667,0.149470
465,0.374806,0.400000,0.327384,0.426667,0.149713
466,0.374801,0.399142,0.327405,0.426667,0.149948
467,0.374785,0.398287,0.327428,0.426667,0.150188
468,0.374758,0.397436,0.327453,0.426667,0.150432
469,0.374719,0.396588,0.327480,0.426667,0.150680
470,0.374670,0.395745,0.327510,0.426667,0.151152
471,0.374610,0.394904,0.327541,0.426667,0.151406
472,0.374539,0.394068,0.327575,0.426667,0.151683
473,0.374459,0.393235,0.327609,0.426667,0.151932
474,0.374367,0.392405,0.327646,0.426667,0.152209
475,0.374266,0.391579,0.327684,0.426667,0.152452
476,0.374154,0.390756,0.327723,0.426667,0.152693
477,0.374033,0.389937,0.327764,0.426667,0.152948
478,0.373902,0.389121,0.327805,0.420000,0.153191
479,0.373762,0.388309,0.327848,0.413333,0.153433
